customerID,gender,SeniorCitizen,Partner,Dependents,Antiguedad,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Probabilidad_%,Prevision,Accion_Recomendada,Nivel_Gasto
sdv-id-pJvgxt,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.11,816.445,21.45,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-QZoJix,Male,0,No,Yes,29,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.32,757.656,38.27,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,ALTO
sdv-id-sUpodm,Male,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.07,1081.986,12.85,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-VQZvMN,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.32,61.568,67.24,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-fHaBym,Male,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.18,3478.42,39.85,0,Acción: El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y no tiene contrato anual.,MEDIO
sdv-id-vZLBtQ,Male,0,Yes,Yes,45,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),42.24,5575.841,26.87,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y tiene contrato anual.,MEDIO
sdv-id-bsSPKa,Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.59,1168.799,18.04,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,ALTO
sdv-id-REEpbp,Male,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.49,18.8,35.4,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,BAJO
sdv-id-dSElnr,Female,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,94.54,1823.095,50.98,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y tiene contrato anual. Ofrece un descuento 30% y un servicio gratis.,ALTO
sdv-id-jZVxJd,Male,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.64,102.045,31.15,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y no tiene contrato anual.,ALTO
sdv-id-WXkorf,Male,0,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.28,3777.362,47.66,0,Acción: El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y no tiene contrato anual.,ALTO
sdv-id-QUoJOA,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,92.64,18.8,78.32,1,Acción: El cliente tiene ALTO riesgo de irse. Su pago mensual es alto y no tiene contrato anual. Ofrece un descuento 30% si se pasa al plan anual.,ALTO
sdv-id-lmdzUR,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.11,6388.293,41.98,0,Acción: El cliente tiene BAJO riesgo de irse. Su pago mensual es alto y no tiene contrato anual.,ALTO
sdv-id-bjwkpo,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.46,1298.705,12.45,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
sdv-id-ZAiBUM,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.12,907.29,23.87,0,Acción:  El cliente tiene BAJO riesgo de irse. Su pago mensual es bajo y tiene contrato anual.,ALTO
